Timestamp,Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Mean,Bwd Pkt Len Mean,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,ACK Flag Cnt,RST Flag Cnt,Label
2026-08-31 10:00:00.000,10459,53,6,423857.89825193625,5,9,6810,3663,1362.0,407.0,0.02470875272808502,3.30299377631233e-05,1,0,0,BENIGN
2026-08-31 10:00:00.500,38790,80,1,102184.45033475797,8,10,11136,7480,1392.0,748.0,0.18218036048725483,0.0001761520460233448,1,1,0,BENIGN
2026-08-31 10:00:01.000,1186,445,6,30718.12101437328,11,11,5665,13772,515.0,1252.0,0.632753545849296,0.0007161896387654737,0,1,0,BENIGN
2026-08-31 10:00:01.500,35766,80,6,463624.42632842105,10,7,6230,2009,623.0,287.0,0.017770849704941926,3.666761075179181e-05,0,1,0,BENIGN
2026-08-31 10:00:02.000,20699,8080,6,721310.1899608106,11,13,1716,2457,156.0,189.0,0.005785305764457411,3.3272786567691794e-05,0,1,0,BENIGN
2026-08-31 10:00:02.500,9485,80,6,370540.2953920459,13,16,3939,12048,303.0,753.0,0.0431451051299392,7.826409262327122e-05,0,0,0,BENIGN
2026-08-31 10:00:03.000,18039,53,6,128591.06393845701,8,9,480,11484,60.0,1276.0,0.09303912443554799,0.00013220203238083547,1,1,0,BENIGN
2026-08-31 10:00:03.500,51081,445,17,549089.1564641547,12,7,6192,1792,516.0,256.0,0.014540443761933591,3.460275945349928e-05,0,1,0,BENIGN
2026-08-31 10:00:04.000,33615,8080,6,41748.26788535746,11,12,6468,12828,588.0,1069.0,0.4621988162087504,0.000550921059950314,1,0,0,BENIGN
2026-08-31 10:00:04.500,29071,445,6,291549.17046590196,11,10,13596,7090,1236.0,709.0,0.07095201116927823,7.202901646305921e-05,0,0,0,BENIGN
2026-08-31 10:00:05.000,61621,22,6,89184.74329972349,9,11,8883,9900,987.0,900.0,0.21060777104857303,0.00022425360277758934,0,0,0,BENIGN
2026-08-31 10:00:05.500,35806,80,1,101951.82244455602,6,6,6360,8748,1060.0,1458.0,0.14818764036056575,0.00011770265318551688,0,1,0,BENIGN
2026-08-31 10:00:06.000,10857,445,17,113007.55336683302,13,5,14625,1715,1125.0,343.0,0.14459210479066759,0.0001592813883862923,0,0,0,BENIGN
2026-08-31 10:00:06.500,8920,443,6,244456.28654586402,11,6,2695,8844,245.0,1474.0,0.04720271326449634,6.954208557903091e-05,0,1,0,BENIGN
2026-08-31 10:00:07.000,33996,80,6,26252.38534351172,10,9,6700,3978,670.0,442.0,0.40674399130636063,0.0007237437567728837,0,0,0,BENIGN
2026-08-31 10:00:07.500,50757,22,6,253577.38557287963,9,13,1962,11687,218.0,899.0,0.05382577775469232,8.675852521087487e-05,1,0,0,BENIGN
2026-08-31 10:00:08.000,55851,445,6,358420.27956804336,4,7,3708,2933,927.0,419.0,0.018528527481252555,3.069022772079176e-05,1,1,0,BENIGN
2026-08-31 10:00:08.500,42824,8080,6,330140.8915541284,15,17,5715,8347,381.0,491.0,0.042593935981021964,9.692831399464535e-05,1,0,0,BENIGN
2026-08-31 10:00:09.000,31532,22,6,241268.19898719314,8,6,3832,7752,479.0,1292.0,0.04801295839297398,5.802671076498927e-05,1,1,0,BENIGN
2026-08-31 10:00:09.500,6371,443,6,913630.968994574,10,8,11380,5864,1138.0,733.0,0.018874141294474518,1.9701608866883632e-05,1,0,0,BENIGN
2026-08-31 10:00:10.000,60087,445,6,78517.98973052822,14,11,4606,2024,329.0,184.0,0.08443924789605034,0.0003183983706487569,1,0,0,BENIGN
2026-08-31 10:00:10.500,31338,53,6,352303.0355778842,5,8,2980,712,596.0,89.0,0.010479614499600323,3.690005105493072e-05,1,1,0,BENIGN
2026-08-31 10:00:11.000,3667,80,6,32024.742744328523,10,11,12070,16357,1207.0,1487.0,0.8876574034668164,0.0006557429722729498,0,1,0,BENIGN
2026-08-31 10:00:11.500,41809,8080,6,36907.06552196081,9,7,6192,8141,688.0,1163.0,0.388353823134161,0.0004335213263201407,1,0,0,BENIGN
2026-08-31 10:00:12.000,19705,53,6,426500.5377121245,15,9,3705,3438,247.0,382.0,0.016747927301920162,5.627191029624582e-05,0,1,0,BENIGN
2026-08-31 10:00:12.500,51050,445,6,417376.59972074395,14,11,4354,10131,311.0,921.0,0.03470486847931699,5.989794352660854e-05,1,0,0,BENIGN
2026-08-31 10:00:13.000,39352,445,6,1052004.483715477,11,6,4994,5574,454.0,929.0,0.010045584561175448,1.6159626943601688e-05,1,1,0,BENIGN
2026-08-31 10:00:13.500,16916,22,6,408079.8180319574,7,7,10220,7532,1460.0,1076.0,0.043501293656661055,3.430701392481156e-05,0,0,0,BENIGN
2026-08-31 10:00:14.000,48323,445,6,1606832.467643761,9,11,3807,8811,423.0,801.0,0.00785271660487689,1.2446848319665385e-05,0,1,0,BENIGN
2026-08-31 10:00:14.500,18097,8080,6,24960.19672895963,13,4,17212,3548,1324.0,887.0,0.8317242134392449,0.0006810843751670116,0,0,0,BENIGN
2026-08-31 10:00:15.000,37792,53,6,51574.6393341898,12,2,11160,1926,930.0,963.0,0.2537293554816534,0.0002714512438287595,0,0,0,BENIGN
2026-08-31 10:00:15.500,31706,8080,6,22533.130580002526,20,6,24600,7410,1230.0,1235.0,1.42057491177911,0.001153856535653135,0,0,0,BENIGN
2026-08-31 10:00:16.000,33286,443,6,102453.45855551025,5,15,5405,21330,1081.0,1422.0,0.26094775495456063,0.00019521058908139938,1,0,0,BENIGN
2026-08-31 10:00:16.500,61509,443,17,389646.8595696304,10,9,6990,10521,699.0,1169.0,0.044940693270033534,4.8762102228921094e-05,0,1,0,BENIGN
2026-08-31 10:00:17.000,32382,80,1,518625.28424408485,16,8,4576,1824,286.0,228.0,0.012340316205764685,4.6276185771617574e-05,0,1,0,BENIGN
2026-08-31 10:00:17.500,59790,80,17,23328.428566982187,12,8,16308,8904,1359.0,1113.0,1.0807414617235,0.0008573230697473426,0,1,0,BENIGN
2026-08-31 10:00:18.000,15313,443,6,1459116.1503671443,9,12,4077,15744,453.0,1312.0,0.013584250982950725,1.4392274387869695e-05,1,0,0,BENIGN
2026-08-31 10:00:18.500,50847,445,6,923103.7408879371,18,9,24894,4041,1383.0,449.0,0.03134533933515843,2.9249150234984535e-05,0,0,0,BENIGN
2026-08-31 10:00:19.000,8951,8080,6,175923.65228022987,14,3,10556,4362,754.0,1454.0,0.08479814854792263,9.66328278130235e-05,0,0,0,BENIGN
2026-08-31 10:00:19.500,49354,443,6,40164.619899309466,11,15,2420,21630,220.0,1442.0,0.5987856988141352,0.000647335890609876,0,1,0,BENIGN
2026-08-31 10:00:20.000,2195,80,6,93096.76554186964,12,10,16308,2660,1359.0,266.0,0.2037449946575407,0.0002363132582489401,1,1,0,BENIGN
2026-08-31 10:00:20.500,55767,443,6,67878.02624741863,11,6,10813,1512,983.0,252.0,0.18157569805078055,0.0002504492386907318,0,1,0,BENIGN
2026-08-31 10:00:21.000,12942,445,6,65785.95928071695,11,12,10252,12528,932.0,1044.0,0.3462744975615865,0.0003496186762035334,1,1,0,BENIGN
2026-08-31 10:00:21.500,42927,443,17,365488.58681878634,12,8,1200,11272,100.0,1409.0,0.034124184583204306,5.472127098012237e-05,1,0,0,BENIGN
2026-08-31 10:00:22.000,40134,8080,6,141080.3002648547,12,7,15264,3206,1272.0,458.0,0.13091834908216438,0.00013467507485441925,0,0,0,BENIGN
2026-08-31 10:00:22.500,51625,53,6,221692.31298440145,8,10,1640,11470,205.0,1147.0,0.05913601524077687,8.119361360289731e-05,1,0,0,BENIGN
2026-08-31 10:00:23.000,12953,445,6,2278444.0461143088,18,10,18864,9580,1048.0,958.0,0.012483958097800982,1.2289088269527054e-05,1,0,0,BENIGN
2026-08-31 10:00:23.500,3563,80,6,576504.0094108895,10,8,13630,10080,1363.0,1260.0,0.04112720746524764,3.122267964464182e-05,1,1,0,BENIGN
2026-08-31 10:00:24.000,37751,8080,6,1487775.3202898803,12,6,8328,4896,694.0,816.0,0.008888438878885645,1.2098601014817121e-05,1,0,0,BENIGN
2026-08-31 10:00:24.500,46975,443,6,76900.02775422554,10,7,3900,1820,390.0,260.0,0.07438228783918575,0.00022106624008149612,1,1,0,BENIGN
2026-08-31 10:00:25.000,23693,1050,1,240746.26721351445,20,8,22480,1720,1124.0,215.0,0.10052076935229137,0.00011630502239108092,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:25.500,6456,1051,6,404539.2445534944,10,14,3020,8722,302.0,623.0,0.02902561409751443,5.932675339297788e-05,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:26.000,21668,1052,17,39931.97868156231,8,8,1304,11080,163.0,1385.0,0.31012738175723703,0.000400681371779376,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:26.500,19769,1053,17,2098.1177611591675,8,9,10408,5166,1301.0,574.0,7.422843566782087,0.008102500361839958,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:27.000,56340,1054,6,554989.8272229315,11,3,10681,2292,971.0,764.0,0.0233752032261218,2.522568759467395e-05,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:27.500,63569,1055,17,513359.13830304,6,9,6918,13113,1153.0,1457.0,0.03901946708463062,2.9219310382380272e-05,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:28.000,29252,1056,6,264485.3013599927,11,5,1958,1815,178.0,363.0,0.014265443033909433,6.0494855166326784e-05,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:28.500,53846,1057,6,336323.453271286,8,11,11400,1364,1425.0,124.0,0.03795156084260576,5.6493235350165256e-05,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:29.000,35545,1058,6,268450.49229518644,14,12,20664,12708,1476.0,1059.0,0.12431342447329627,9.685212262692386e-05,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:29.500,58276,1059,6,12148.930740427531,10,8,8990,7408,899.0,926.0,1.349748412996999,0.0014816118693710197,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:30.000,32727,1060,6,204263.60042939257,11,12,12716,17880,1156.0,1490.0,0.1497868437361565,0.00011259960144893448,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:30.500,27952,1061,6,97449.5145523542,17,11,2941,14641,173.0,1331.0,0.18042162733145226,0.000287328265571645,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:31.000,19346,1062,17,51805.57284981379,5,12,6335,1812,1267.0,151.0,0.15726107347651253,0.0003281500244385311,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:31.500,58738,1063,6,1570037.3348319917,11,13,9438,8671,858.0,667.0,0.011534120621292413,1.52862606941862e-05,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:32.000,23384,1064,6,457345.662107091,8,8,8808,7904,1101.0,988.0,0.03654128897306857,3.4984479629553436e-05,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:32.500,63316,1065,6,652184.4689477539,20,8,21140,6312,1057.0,789.0,0.04209238537046217,4.2932638437015184e-05,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:33.000,30079,1066,6,189433.7969120374,11,9,5456,13149,496.0,1461.0,0.09821373114142351,0.00010557778139362915,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:33.500,43915,1067,17,249734.45263356515,12,11,5724,1001,477.0,91.0,0.026928603277651453,9.209782533620572e-05,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:34.000,17400,1068,6,135198.8189223256,7,12,5033,1476,719.0,123.0,0.048143911695398105,0.00014053377204064588,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:34.500,7612,1069,1,50997.35481909057,9,11,6174,8261,686.0,751.0,0.2830538965869226,0.0003921772034456842,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:35.000,26024,1070,6,98635.35276191765,12,10,7932,7700,661.0,770.0,0.15848273018445136,0.00022304376049500573,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:35.500,7328,1071,6,798542.3771649214,10,4,12870,3120,1287.0,780.0,0.020023984270652398,1.753194370163437e-05,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:36.000,8369,1072,6,565897.0922056745,8,8,9848,6944,1231.0,868.0,0.02967323958893968,2.82736918427248e-05,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:36.500,30324,1073,17,395853.07958439074,8,4,9360,1856,1170.0,464.0,0.028333744457646835,3.0314277237139978e-05,1,0,0,Reconnaissance-PortScan
2026-08-31 10:00:37.000,25283,1074,6,322264.10872873565,7,11,10101,11924,1443.0,1084.0,0.06834456398573381,5.5854808251678033e-05,1,0,0,Reconnaissance-PortScan
